date,time,heart rate
2018-10-05,14:42:48.81,91.99695
2018-10-05,14:42:49.908,91.99695
2018-10-05,19:24:30.911,91.52906999999999
2018-10-05,19:24:32.011,91.52906999999999
2018-10-05,19:50:44.718,90.44916500000001
2018-10-05,19:50:45.822,89.174286
2018-10-05,19:50:46.922,86.45309
2018-10-05,19:50:48.013,84.96936
2018-10-05,19:50:49.145,84.03406
2018-10-05,19:50:50.253,82.86216
2018-10-05,19:50:51.344,79.80096400000001
2018-10-05,19:50:52.445,76.90419
2018-10-05,19:50:53.523,75.4558
2018-10-05,19:50:54.624,74.73161
2018-10-05,19:50:55.724,82.08887
2018-10-05,19:50:56.813,86.71722
2018-10-05,19:50:57.963,89.354095
2018-10-05,19:50:59.043,91.29729
2018-10-05,19:51:00.155,92.35766600000001
2018-10-05,19:51:01.264,93.12077
2018-10-05,19:51:02.344,93.60332
2018-10-05,19:51:03.423,93.84459
2018-10-05,19:51:04.573,94.16557
2018-10-05,19:51:05.666,94.326065
2018-10-05,19:51:06.753,94.19440999999999
2018-10-05,19:51:07.852,93.62196999999999
2018-10-05,19:51:08.977,90.9783
2018-10-05,19:51:10.043,89.65647
2018-10-05,19:51:11.183,88.99556
2018-10-05,19:51:12.271,90.44986
2018-10-05,19:51:13.388,91.610176
2018-10-05,19:51:14.463,99.44117
2018-10-05,19:51:32.366,105.9895
2018-10-05,19:51:33.464,111.54646000000001
2018-10-05,19:51:34.555,116.91196000000001
2018-10-05,19:51:35.694,119.59471
2018-10-05,19:52:32.46,107.45787
2018-10-05,19:52:33.56,97.16495
2018-10-05,19:52:34.661,91.002464
2018-10-05,19:52:35.751,87.427666
2018-10-05,19:52:36.832,84.87602
2018-10-05,19:52:37.946,82.24906999999999
2018-10-05,19:52:39.023,80.24797
2018-10-05,19:52:40.122,78.18918599999999
2018-10-05,19:52:41.269,76.481346
2018-10-05,19:52:42.356,75.627426
2018-10-05,19:52:43.462,75.20047
2018-10-05,19:52:44.564,80.2253
2018-10-05,19:52:45.632,87.99498
2018-10-05,19:52:46.731,93.87812
2018-10-05,19:52:47.831,98.06699
2018-10-05,19:52:48.931,100.35475
2018-10-05,19:52:50.061,101.49863
2018-10-05,19:52:51.161,102.07056999999999
2018-10-05,19:52:52.242,102.0843
2018-10-05,19:52:53.354,100.14456
2018-10-05,19:52:54.439,99.1747
2018-10-05,19:52:55.519,98.68975999999999
2018-10-19,23:29:00.171,110.007324
2018-10-19,23:29:01.25,111.89358500000002
2018-10-19,23:29:02.401,94.316376
2018-10-19,23:29:03.491,84.63363000000001
2018-10-19,23:29:04.593,79.30341999999999
2018-10-19,23:29:05.692,74.5672
2018-10-19,23:29:06.822,72.060135
2018-10-19,23:29:07.913,65.47057
2018-10-19,23:29:09.006,62.17579
2018-10-19,23:29:10.154,60.528397
2018-10-19,23:29:11.241,68.7137
2018-10-19,23:29:12.34,73.025475
2018-10-19,23:29:13.432,75.52733
2018-10-19,23:29:14.522,76.95065
2018-10-19,23:29:15.621,77.662315
2018-10-19,23:29:16.713,77.84575
2018-10-19,23:29:17.817,76.27239
2018-10-19,23:29:18.912,75.48572
2018-10-19,23:29:19.99,75.09238
2018-10-19,23:29:21.101,76.33798
2018-10-19,23:29:22.242,77.39336999999999
2018-10-19,23:29:23.322,77.92107
2018-10-19,23:29:24.432,78.18491
2018-10-19,23:29:25.524,76.65434
2018-10-19,23:29:26.61,74.58677
2018-10-19,23:29:27.71,73.53137
2018-10-19,23:29:28.79,72.72022
2018-10-19,23:29:29.889,72.31465
2018-10-19,23:29:31.072,71.97269
2018-10-19,23:29:32.179,71.801704
2018-10-19,23:29:33.272,71.85539
2018-10-19,23:29:34.366,72.03692
2018-10-19,23:29:35.46,72.98704000000001
2018-10-19,23:29:36.552,73.55024
2018-10-19,23:29:37.631,74.12109
2018-10-19,23:29:38.742,79.58923
2018-10-19,23:29:39.823,82.3233
2018-10-19,23:29:40.913,83.69034
2018-10-19,23:29:42.013,82.92821500000001
2018-10-19,23:29:43.102,81.860916
2018-10-19,23:29:44.194,80.24858
2018-10-19,23:29:45.292,78.88555
2018-10-19,23:29:46.4,77.416504
2018-10-19,23:29:47.524,76.58658
2018-10-19,23:29:48.628,75.49339
2018-10-19,23:29:49.712,74.0253
2018-10-19,23:29:50.812,73.29125
2018-10-19,23:29:51.903,72.924225
2018-10-19,23:29:52.99,72.966415
2018-10-19,23:29:54.09,76.91771
2018-10-20,11:21:21.05,78.89336
2018-10-20,11:21:22.149,79.88118
2018-10-20,11:21:23.241,79.46907
2018-10-20,11:21:24.34,78.84853000000001
2018-10-20,11:21:25.441,78.40907
2018-10-20,11:21:26.533,77.784515
2018-10-20,11:21:27.635,77.3741
2018-10-20,11:21:28.721,77.15434
2018-10-20,11:21:29.853,77.05901999999999
2018-10-20,11:21:30.951,77.10948
2018-10-20,11:21:32.05,88.00591
2018-10-20,11:21:33.14,93.88101999999999
2018-10-20,11:21:34.221,97.18954000000001
2018-10-20,11:21:35.327,98.843796
2018-10-20,11:21:36.411,99.67093
2018-10-20,11:21:37.521,100.8784
2018-10-20,11:21:38.611,102.21684
2018-10-20,11:21:39.69,102.88606
2018-10-20,11:21:40.802,103.22067
2018-10-20,11:21:41.896,103.23978000000001
2018-10-20,11:21:42.981,103.24933
2018-10-20,11:21:44.081,103.10539
2018-10-20,11:21:45.171,102.10469
2018-10-20,11:21:46.301,98.48214
2018-10-20,11:21:47.399,96.5981
2018-10-20,11:21:48.491,95.278725
2018-10-20,11:21:49.598,94.99638
2018-10-20,11:22:20.37,96.5721
2018-10-20,11:22:21.546,98.64479
2018-10-20,11:22:22.64,99.98056
2018-10-20,11:22:23.73,100.648445
2018-10-20,11:22:24.821,100.68297
2018-10-20,11:22:25.96,100.19556999999999
2018-10-20,11:22:27.099,99.20039
2018-10-20,11:22:28.201,98.23357
2018-10-20,11:22:29.291,97.75015
2018-10-20,11:22:30.392,97.22894000000001
2018-10-20,11:22:31.484,96.96834
2018-10-20,11:22:32.59,96.838036
2018-10-20,11:22:33.661,97.206436
2018-10-20,11:22:34.76,97.39063
2018-10-20,11:22:35.959,97.54451999999999
2018-10-20,11:22:37.041,97.667046
2018-10-20,11:22:38.149,97.72831
2018-10-21,17:39:30.499,96.44592
2018-10-21,17:39:31.61,95.71914
2018-10-21,17:39:32.69,94.461815
2018-10-21,17:39:33.8,93.04054000000001
2018-10-21,17:39:34.9,92.06459
2018-10-21,17:39:36.01,91.154945
2018-10-21,17:39:37.12,90.70012
2018-10-21,17:39:38.235,90.89438
2018-10-21,17:39:39.328,93.15603
2018-10-21,17:39:40.431,94.71515
2018-10-21,17:39:41.539,96.3634
2018-10-21,17:39:42.642,97.303894
2018-10-21,17:39:43.731,104.44057
2018-10-21,17:39:44.83,108.05995
2018-10-21,17:39:45.939,110.15306000000001
2018-10-21,17:39:47.039,111.68011499999999
2018-10-21,17:39:48.159,113.00388999999998
2018-10-21,17:39:49.27,114.56615
2018-10-21,17:39:50.349,115.347275
2018-10-21,17:39:51.461,115.73783999999999
2018-10-21,17:39:52.556,115.70213000000001
2018-10-21,17:39:53.676,115.38297
2018-10-21,17:39:54.77,115.1046
2018-10-21,17:39:55.87,114.89662
2018-10-21,17:39:56.969,114.79263
2018-10-21,17:39:58.119,114.61353999999999
2018-10-21,17:41:13.371,114.05245
2018-10-21,17:41:14.492,113.20608500000002
2018-10-21,17:41:15.589,112.59454
2018-10-21,17:41:16.68,112.28877
2018-10-21,17:41:17.841,112.32425
2018-10-21,17:41:18.998,112.0706
2018-10-21,17:41:20.091,111.94378
2018-10-21,17:41:21.199,106.482796
2018-10-21,17:41:34.758,103.75230400000001
2018-10-21,17:41:35.868,102.387054
2018-10-21,17:41:36.968,103.08697
2018-10-21,17:41:38.068,104.61546
2018-10-21,17:41:39.221,105.67871000000001
2018-10-21,17:41:40.32,106.21033
2018-10-21,17:41:41.419,106.17715
2018-10-21,17:41:42.522,105.47323
2018-10-21,17:41:43.631,104.474754
2018-10-21,17:41:44.735,102.39014399999999
2018-10-21,17:41:45.88,101.34784
2018-10-21,17:41:47.03,100.82669
2018-10-21,17:41:48.133,103.66075
2018-10-21,17:41:49.233,111.686745
2018-10-21,17:41:50.331,116.04198999999998
2018-10-21,17:41:51.429,118.21961
2018-10-21,17:41:52.54,119.308426
2018-10-21,17:41:53.693,119.85283000000001
2018-10-21,17:41:54.822,119.86072
2018-10-21,17:41:55.941,119.47301999999999
2018-10-21,17:41:57.041,118.0822
2018-10-21,17:41:58.131,116.752365
2018-10-21,17:41:59.23,115.75126999999999
2018-10-21,17:42:00.33,115.029976
2018-10-21,17:42:01.43,114.61
2018-10-21,17:42:02.558,114.20568
2018-10-21,17:42:03.697,113.77573000000001
2018-10-21,17:42:57.423,112.809875
2018-10-21,17:42:58.57,112.36030600000001
2018-10-21,17:42:59.684,110.89363
2018-10-21,17:43:45.046,109.39203
2018-10-21,17:43:46.136,108.623695
2018-10-21,17:43:47.236,107.956116
2018-10-21,17:43:48.437,107.62233
2018-10-21,17:43:49.56,107.45543
2018-10-21,17:43:50.654,102.31481
2018-10-21,17:43:51.738,92.6252
2018-10-21,17:43:52.838,87.780396
2018-10-21,17:43:53.948,85.29021999999999
2018-10-21,17:43:55.097,84.1129
2018-10-21,17:43:56.198,83.52425
2018-10-21,17:43:57.296,83.321915
2018-10-21,17:43:58.398,83.59091
2018-10-21,17:43:59.537,90.811325
2018-10-21,17:44:00.688,94.42154000000001
2018-10-21,17:44:01.827,96.22664
2018-10-21,17:44:02.93,95.43259
2018-10-21,17:44:04.039,95.03555
2018-10-21,17:44:05.126,94.837036
2018-10-21,17:44:06.288,94.75455500000001
2018-10-21,17:44:07.378,95.10306
2018-10-21,17:44:08.478,95.32028000000001
2018-10-21,17:44:09.579,96.04303
2018-10-21,17:44:10.693,96.82907
2018-10-21,17:44:11.878,97.85385
2018-10-21,17:44:13.028,98.36624
2018-10-21,17:44:25.402,99.55705
2018-10-21,17:44:26.481,99.455505
2018-10-21,17:44:27.591,99.204865
2018-10-21,17:44:28.779,99.079544
2018-10-21,17:45:57.7,97.59875500000001
2018-10-21,17:45:58.841,96.85835
2018-10-21,17:45:59.94,95.677216
2018-10-21,17:46:01.04,95.08665
2018-10-21,17:46:02.141,95.35197
2018-10-21,17:46:03.232,95.77904000000001
2018-10-21,17:46:04.34,96.43469
2018-10-21,17:46:05.431,96.93524000000001
2018-10-21,17:46:06.554,97.30972
2018-10-21,17:46:07.632,101.96401999999999
2018-10-21,17:46:08.742,104.29117
2018-10-21,17:46:09.832,105.45473999999999
2018-10-21,17:46:10.94,104.44006
2018-10-21,17:46:12.033,103.71664399999999
2018-10-21,17:46:13.127,103.234406
2018-10-21,17:46:14.244,102.379745
2018-10-21,17:46:15.332,101.952415
2018-10-21,17:46:16.432,101.738754
2018-10-21,17:46:17.522,102.02472
2018-10-21,17:46:18.632,102.16771
2018-10-21,17:46:19.723,102.2392
2018-10-21,17:46:20.823,102.05561999999999
2018-10-21,17:46:21.936,101.85469
2018-10-21,17:46:23.012,93.15654
2018-10-21,17:46:24.11,88.428085
2018-10-21,17:46:25.222,85.328964
2018-10-21,17:46:26.361,83.72970600000001
2018-10-21,17:47:27.432,82.93008
2018-10-21,17:47:28.532,82.53026
2018-10-21,17:47:29.635,84.8622
2018-10-21,17:47:30.741,86.46512
2018-10-21,17:47:31.822,87.53392
2018-10-21,17:47:32.923,88.023
2018-10-21,17:47:46.69,88.60503
2018-10-21,17:47:47.772,89.270615
2018-10-21,17:47:48.87,106.85531599999999
2018-10-21,17:47:49.98,116.2572
2018-10-21,17:47:51.083,121.02548
2018-10-21,17:47:52.162,124.31599399999999
2018-10-21,17:47:53.261,125.96126000000001
2018-10-21,17:47:54.372,126.78388999999999
2018-10-21,17:47:55.475,123.10608
2018-10-21,17:47:56.552,120.882034
2018-10-21,17:47:57.662,119.19778400000001
2018-10-21,17:47:58.762,118.92788999999999
2018-10-21,17:47:59.843,118.79293999999999
2018-10-21,17:48:00.962,118.153244
2018-10-21,17:48:02.045,117.83339
2018-10-21,17:48:03.133,116.15253999999999
2018-10-21,17:48:04.242,114.38248
2018-10-21,17:48:05.333,110.94697
2018-10-21,17:48:06.433,108.51633000000001
2018-10-21,17:48:07.535,96.663574
2018-10-21,17:48:08.673,90.7372
2018-10-21,17:48:09.772,87.774
2018-10-21,17:48:10.872,86.292404
2018-10-21,17:48:11.962,85.56875600000001
2018-10-21,17:48:13.052,85.206924
2018-10-21,17:48:14.162,84.96866999999999
2018-10-21,17:48:15.353,84.27116
2018-10-21,17:49:28.383,83.278984
2018-10-21,17:49:29.472,82.51913
2018-10-21,17:49:30.572,80.34314
2018-10-21,17:49:31.662,79.25515
2018-10-21,17:49:32.772,78.08423
2018-10-21,17:49:33.873,78.125694
2018-10-21,17:49:35.05,78.47737
2018-10-21,17:49:36.144,82.36385
2018-10-21,18:45:54.558,76.354996
2018-10-21,18:45:55.669,78.0437
2018-10-21,18:45:56.758,79.48549
2018-10-21,18:45:57.87,80.206375
2018-10-21,18:45:58.977,80.56681999999999
2018-10-21,18:46:00.059,80.71379
2018-10-21,18:46:01.162,80.10985600000001
2018-10-21,18:46:02.26,79.57426
2018-10-21,18:46:03.37,79.30646
2018-10-21,18:46:04.459,79.17256
2018-10-21,18:46:05.6,79.10560600000001
2018-10-21,18:46:06.71,80.22839
2018-10-21,18:46:07.81,81.42015
2018-10-21,18:46:08.9,85.54903
2018-10-21,18:46:10.013,89.20342
2018-10-21,18:46:11.15,92.73085
2018-10-21,18:46:12.24,95.49412
2018-10-21,18:46:13.34,98.26108
2018-10-21,18:46:14.452,100.374725
2018-10-21,18:46:15.543,101.43155
2018-10-21,18:46:16.64,101.95996
2018-10-21,18:46:17.749,90.890945
2018-10-21,18:46:18.838,85.125824
2018-10-21,18:46:19.949,82.18703000000001
2018-10-21,18:46:21.056,80.17197
2018-10-21,18:46:22.131,79.16444
2018-10-21,18:46:57.372,78.396935
2018-10-21,18:46:58.503,78.27691999999999
2018-10-21,18:46:59.582,78.21808
2018-10-21,18:47:00.682,77.9895
2018-10-21,18:47:01.769,78.15358
2018-10-21,18:47:02.869,78.23563
2018-10-22,16:04:49.062,0.0
2018-10-22,16:04:50.162,0.0
2018-10-22,16:04:51.263,0.0
2018-10-22,16:04:52.366,0.0
2018-10-22,16:04:53.501,0.0
2018-10-22,16:04:54.646,0.0
2018-10-22,16:04:55.748,0.0
2018-10-22,16:04:56.842,0.0
2018-10-22,16:04:57.935,0.0
2018-10-22,16:04:59.033,0.0
2018-10-22,16:05:00.123,0.0
2018-10-22,16:05:01.215,0.0
2018-10-22,16:05:02.326,0.0
2018-10-22,16:05:03.417,0.0
2018-10-22,16:05:04.506,0.0
2018-10-22,16:05:05.613,0.0
