date,time,heart rate
2018-10-22,16:05:06.713,0.0
2018-10-22,16:05:07.805,0.0
2018-10-22,16:05:08.894,0.0
2018-10-22,16:05:10.043,55.326027
2018-10-22,16:05:11.141,55.326027
2018-10-22,16:05:12.241,55.326027
2018-10-22,16:05:13.334,54.12936800000001
2018-10-22,16:05:14.437,53.531036
2018-10-22,16:05:15.564,53.231873
2018-10-22,16:05:16.663,53.626132999999996
2018-10-22,16:05:17.762,54.300014000000004
2018-10-22,16:06:15.385,54.821404
2018-10-22,16:06:16.476,54.80790699999999
2018-10-22,16:06:17.576,54.801155
2018-10-22,16:06:18.683,54.797782999999995
2018-10-22,16:06:19.763,54.796096999999996
2018-10-22,16:06:20.863,55.172630000000005
2018-10-22,16:06:21.953,55.409565
2018-10-22,16:06:23.093,59.959686
2018-10-22,16:06:24.193,75.48361
2018-10-22,16:06:25.293,84.08978
2018-10-22,16:06:57.27,90.20259
2018-10-22,16:06:58.36,90.97385
2018-10-22,16:06:59.442,91.49309000000001
2018-10-22,16:07:00.592,91.7527
2018-10-22,16:07:01.733,91.88251
2018-10-22,16:07:02.833,92.16121
2018-10-22,16:07:03.914,92.30057
2018-10-22,16:07:05.055,92.7036
2018-10-22,16:07:06.161,92.90512
2018-10-22,16:07:07.256,93.43695
2018-10-22,16:07:08.356,93.702866
2018-10-22,16:07:09.432,93.835815
2018-10-22,16:07:10.521,93.9023
2018-10-22,16:07:11.66,94.033585
2018-10-22,16:07:12.752,93.90784000000001
2018-10-22,16:07:13.86,93.676346
2018-10-22,16:07:14.947,75.98621999999999
2018-10-22,16:07:16.059,66.83877
2018-10-22,16:07:17.148,62.26504
2018-10-22,16:07:18.234,60.28057
2018-10-22,16:07:19.324,64.94221
2018-10-22,16:07:20.423,71.91367
2018-10-22,16:07:21.533,89.64007600000001
2018-10-22,16:07:22.612,99.53963
2018-10-22,16:07:23.7,104.48940999999999
2018-10-22,16:07:24.784,105.92793999999999
2018-10-22,16:07:25.942,98.0397
2018-10-22,16:08:32.406,93.18443
2018-10-22,16:08:33.518,90.75679000000001
2018-10-22,16:08:34.593,90.45413
2018-10-22,16:08:35.692,96.79753000000001
2018-10-22,16:08:36.792,101.10251
2018-10-22,16:45:21.201,104.73114
2018-10-22,16:45:22.291,107.05542
2018-10-22,16:45:23.391,108.21756
2018-10-22,16:45:24.491,108.79863
2018-10-22,16:45:25.638,106.71965
2018-10-22,16:45:26.723,101.77869
2018-10-22,16:45:27.814,99.08171
2018-10-22,16:45:28.91,97.73321999999999
2018-10-22,16:45:30.05,97.28546999999999
2018-10-22,16:45:31.142,96.86998
2018-10-22,16:45:32.233,96.89779
2018-10-22,16:45:33.341,97.97936999999999
2018-10-22,16:45:34.422,98.67041
2018-10-22,16:45:35.518,99.811386
2018-10-22,16:45:36.623,104.85745
2018-10-22,16:45:37.703,107.93831000000002
2018-10-22,16:45:38.812,109.974655
2018-10-22,16:45:39.891,110.99283
2018-10-22,16:45:41.033,112.4268
2018-10-22,16:45:42.132,113.1438
2018-10-22,16:45:43.233,113.50228999999999
2018-10-22,16:45:44.324,113.42378000000001
2018-10-22,16:45:45.465,113.24348
2018-10-22,16:45:46.55,113.06526000000001
2018-10-22,16:45:47.709,112.80423
2018-10-22,16:45:48.794,112.62057
2018-10-22,16:45:49.88,112.41761000000001
2018-10-22,16:45:50.971,110.29335
2018-10-22,16:46:46.368,106.59241999999999
2018-10-22,16:46:47.514,105.9756
2018-10-22,16:46:48.643,105.56355
2018-10-22,16:46:49.756,105.35753000000001
2018-10-22,16:46:50.867,106.37096000000001
2018-10-22,16:46:51.945,106.87767
2018-10-22,16:46:53.042,107.52841000000001
2018-10-22,16:46:54.125,108.68053400000001
2018-10-22,16:46:55.216,109.37567
2018-10-22,16:46:56.317,109.72323600000001
2018-10-22,16:46:57.405,109.89702
2018-10-22,16:46:58.502,109.48341
2018-10-22,16:46:59.593,109.1715
2018-10-22,16:47:00.683,108.46942
2018-10-22,16:47:01.792,107.44475
2018-10-22,16:47:02.884,105.012955
2018-10-22,16:47:03.979,103.778366
2018-10-22,17:06:40.582,102.79253
2018-10-22,17:06:41.682,100.56485
2018-10-22,17:06:42.762,99.45102
2018-10-22,17:06:43.864,98.894104
2018-10-22,17:06:44.961,101.55781999999999
2018-10-22,17:06:46.049,103.416214
2018-10-22,17:06:47.144,104.34541
2018-10-22,17:06:48.245,104.28348000000001
2018-10-22,17:06:49.325,103.7401
2018-10-22,17:06:50.433,102.64556999999999
2018-10-22,17:06:51.527,100.37469
2018-10-22,17:06:52.667,98.84694
2018-10-22,17:06:53.745,98.04848
2018-10-22,17:06:54.855,97.33411
2018-10-22,17:06:55.945,95.04315
2018-10-22,17:06:57.035,92.81871
2018-10-22,17:06:58.136,90.761475
2018-10-22,17:06:59.235,89.254486
2018-10-22,17:07:00.305,87.07868
2018-10-22,17:07:01.405,85.05358000000001
2018-10-22,17:07:02.545,83.46576
2018-10-22,17:07:03.645,82.40524
2018-10-22,17:07:04.734,80.92849
2018-10-22,17:07:05.904,79.76812
2018-10-22,17:07:06.995,79.187935
2018-10-22,17:07:08.105,79.17791
2018-10-22,17:07:09.241,79.31482
2018-10-22,17:08:24.372,79.95585
2018-10-22,17:08:25.464,81.24625999999999
2018-10-22,17:08:26.63,81.891464
2018-10-22,17:08:27.7,82.214066
2018-10-22,17:38:30.432,82.456024
2018-10-22,17:38:31.532,82.727325
2018-10-22,17:38:32.632,83.81024000000001
2018-10-22,17:38:33.713,84.68058
2018-10-22,17:38:34.824,93.3253
2018-10-22,17:38:35.905,97.84883
2018-10-22,17:38:37.046,101.4727
2018-10-22,17:38:38.138,103.4147
2018-10-22,17:38:39.235,104.488525
2018-10-22,17:38:40.325,108.80179
2018-10-22,17:38:41.435,110.95841999999999
2018-10-22,17:38:42.514,112.036736
2018-10-22,17:38:43.624,105.41533000000001
2018-10-22,17:38:44.714,102.02606
2018-10-22,17:38:45.805,100.32904
2018-10-22,17:38:46.904,94.60624
2018-10-22,17:38:47.994,91.74484
2018-10-22,17:38:49.133,90.208145
2018-10-22,17:38:50.235,89.43980400000001
2018-10-22,17:38:51.315,86.723045
2018-10-22,17:38:52.411,84.57029
2018-10-22,17:38:53.565,83.080246
2018-10-22,17:38:54.695,81.80595
2018-10-22,17:38:55.789,81.16879
2018-10-22,17:38:56.897,80.85022
2018-10-22,17:38:57.985,81.22150400000001
2018-10-22,17:38:59.08,83.12469
2018-10-22,17:39:24.377,84.07628000000001
2018-10-27,09:52:48.797,84.4234
2018-10-27,09:52:49.907,83.14737
2018-10-27,09:52:50.987,81.56666
2018-10-27,09:52:52.087,80.48255
2018-10-27,09:52:53.175,79.9405
2018-10-27,09:52:54.29,79.96323000000001
2018-10-27,09:52:55.358,80.09654
2018-10-27,09:52:56.46,81.829285
2018-10-27,09:52:57.6,89.47973
2018-10-27,09:52:58.7,93.30495
2018-10-27,09:52:59.78,95.21755999999999
2018-10-27,09:53:00.927,96.05131999999999
2018-10-27,09:53:02.019,96.43739000000001
2018-10-27,09:53:03.158,95.48573
2018-10-27,09:53:04.249,94.538635
2018-10-27,09:53:05.35,94.06509399999999
2018-10-27,09:53:06.495,93.80722
2018-10-27,09:53:07.569,93.52609
2018-10-27,09:53:08.67,93.53772
2018-10-27,09:53:09.767,95.14513000000001
2018-10-27,09:53:10.86,96.242615
2018-10-27,09:53:11.942,96.80464
2018-10-27,09:53:13.057,97.08566
2018-10-27,09:53:14.172,97.21288
2018-10-27,09:53:15.269,97.18356
2018-10-27,09:53:16.35,97.16891
2018-10-27,09:53:17.501,97.161575
2018-10-27,09:54:12.369,97.98982
2018-10-27,09:54:13.47,99.00865999999999
2018-10-27,09:54:14.55,99.51808
2018-10-27,09:54:15.65,99.77279
2018-10-27,09:54:16.789,99.76241
2018-10-27,09:54:17.891,98.45699
2018-10-27,09:54:31.038,94.196915
2018-10-27,09:54:32.138,93.48691
2018-10-27,09:54:33.238,93.32096999999999
2018-10-27,09:54:34.329,108.31398
2018-10-27,09:54:35.429,115.81048600000001
2018-10-27,09:54:36.523,119.55873999999999
2018-10-27,09:54:37.64,119.5339
2018-10-27,09:54:38.71,119.52148000000001
2018-10-27,09:54:39.789,114.17433999999999
2018-10-27,09:54:40.88,111.20206499999999
2018-10-27,09:54:41.984,108.37765
2018-10-27,09:54:43.076,99.97336
2018-10-27,09:54:44.17,95.57089
2018-10-27,09:54:45.26,93.18947
2018-10-27,09:54:46.36,91.89909
2018-10-27,09:54:47.45,91.25391
2018-10-27,09:54:48.531,90.93132
2018-10-27,09:54:49.631,94.74663000000001
2018-10-27,09:54:50.72,96.65428
2018-10-27,09:54:51.821,97.60811
2018-10-27,09:54:52.901,97.730576
2018-10-27,09:54:53.997,97.238754
2018-10-27,09:54:55.141,96.190475
2018-10-27,09:54:56.248,94.95674
2018-10-27,09:54:57.331,94.217575
2018-10-27,09:54:58.428,93.84799
2018-10-27,09:54:59.595,93.503204
2018-10-27,09:55:59.369,93.33081
2018-10-27,09:56:00.513,93.24461
2018-10-27,09:56:01.61,91.53097
2018-10-27,09:56:02.764,90.67415
2018-10-27,09:56:03.83,90.245735
2018-10-27,09:56:04.927,91.21637
2018-10-27,09:56:06.019,95.224335
2018-10-27,10:22:06.797,104.003876
2018-10-27,10:22:07.897,105.90907
2018-10-27,10:22:08.988,107.17995
2018-10-27,10:22:10.079,107.81538400000001
2018-10-27,10:22:11.19,107.90398
2018-10-27,10:22:12.319,107.94827
2018-10-27,10:22:13.429,107.558945
2018-10-27,10:22:14.518,106.78643999999998
2018-10-27,10:22:15.61,105.419334
2018-10-27,10:22:16.71,104.14563000000001
2018-10-27,10:22:17.79,103.42551
2018-10-27,10:22:18.939,103.03174
2018-10-27,10:22:20.04,102.834854
2018-10-27,10:22:21.137,101.06218
2018-10-27,10:22:22.215,99.78832
2018-10-27,10:22:23.334,96.634834
2018-10-27,10:22:24.419,95.05809
2018-10-27,10:22:25.5,94.26971400000001
2018-10-27,10:22:26.6,93.875534
2018-10-27,10:22:27.69,91.90682
2018-10-27,10:22:28.786,88.94049
2018-10-27,10:22:29.929,86.88271999999999
2018-10-27,10:22:31.032,85.853836
2018-10-27,10:22:32.12,85.339386
2018-10-27,10:22:33.22,85.960236
2018-10-27,10:22:34.309,87.06097
2018-10-27,10:22:35.483,0.0
2018-10-27,10:22:56.361,0.0
2018-10-27,10:22:57.462,0.0
2018-10-27,10:22:58.544,0.0
2018-10-27,10:22:59.649,0.0
2018-10-27,10:23:00.732,0.0
2018-10-27,18:56:00.691,0.0
2018-10-27,18:56:01.801,0.0
2018-10-27,18:56:02.912,0.0
2018-10-27,18:56:04.012,0.0
2018-10-27,18:56:05.113,0.0
2018-10-27,18:56:06.212,0.0
2018-10-27,18:56:18.793,0.0
2018-10-27,18:56:19.902,0.0
2018-10-27,18:56:33.801,0.0
2018-10-27,18:56:34.911,0.0
2018-10-30,01:00:14.125,0.0
2018-10-30,01:00:15.217,0.0
2018-10-30,01:00:16.318,0.0
2018-10-30,01:00:17.418,0.0
2018-10-30,01:00:18.509,0.0
2018-10-30,01:00:19.608,0.0
2018-10-30,01:00:20.706,0.0
2018-10-30,01:00:21.788,0.0
2018-10-30,01:00:22.888,0.0
2018-10-30,01:00:23.986,0.0
2018-10-30,01:00:25.068,0.0
2018-10-30,01:00:26.168,0.0
2018-10-30,01:00:27.267,0.0
2018-10-30,01:00:28.345,128.27199
2018-10-30,01:00:29.445,128.27199
2018-10-30,01:00:30.535,128.27199
2018-10-30,01:00:31.636,128.27199
2018-10-30,01:00:32.738,128.27199
2018-10-30,01:00:33.819,128.40668
2018-10-30,01:00:34.927,128.47403
2018-10-30,01:00:36.018,128.20963
2018-10-30,01:00:37.118,127.99632
2018-10-30,01:00:38.214,124.78761000000002
2018-10-30,01:00:39.295,121.6221
2018-10-30,01:00:40.389,117.20392
2018-10-30,01:00:41.478,114.991005
2018-10-30,01:00:42.584,113.88455
2018-10-30,01:00:43.678,113.33131999999999
2018-10-30,01:00:44.779,115.29728999999999
2018-10-30,01:00:45.865,116.464615
2018-10-30,01:00:46.948,117.04828
2018-10-30,01:00:48.058,117.15576999999999
2018-10-30,01:00:49.148,102.43924
2018-10-30,01:00:50.288,95.0128
2018-10-30,01:00:51.368,91.19601999999999
2018-10-30,01:00:52.479,89.28763000000001
2018-10-30,01:00:53.572,88.505165
2018-10-30,01:00:54.67,89.52917
2018-10-30,01:00:55.758,91.88945
2018-10-30,01:00:56.839,93.42229
2018-10-30,01:01:19.306,111.83728
2018-10-30,01:03:18.709,120.03368999999999
2018-10-30,01:03:19.843,124.1319
2018-10-30,01:03:20.942,125.57986499999998
2018-10-30,01:03:22.022,126.30385
2018-10-30,01:03:23.138,127.266975
2018-10-30,01:03:24.214,133.87349
2018-10-30,01:03:25.317,137.17674
2018-10-30,01:03:26.445,138.82837
2018-10-30,01:03:27.553,131.94585
2018-10-30,01:03:28.675,124.81206
2018-10-30,01:03:29.735,120.06936
2018-10-30,01:03:30.835,116.91283
2018-10-30,01:03:31.926,114.77181999999999
2018-10-30,01:03:33.007,112.922775
2018-10-30,01:03:34.111,111.889725
2018-10-30,01:03:35.205,110.11501000000001
2018-10-30,01:03:36.295,109.22766000000001
2018-10-30,01:03:37.395,108.78398
2018-10-30,01:03:38.485,114.09069
2018-10-30,01:03:39.586,124.04283000000001
2018-10-30,01:03:40.678,133.59116
2018-10-30,01:03:41.764,138.36533
2018-10-30,01:03:42.845,140.75241
2018-10-30,01:03:43.954,141.08646000000002
2018-10-30,01:03:45.036,139.87051
2018-10-30,01:03:46.133,137.61037
2018-10-30,01:03:47.295,0.0
2018-10-30,01:04:34.344,133.68777
2018-10-30,01:05:18.822,132.11563
2018-10-30,01:05:19.922,132.69846
2018-10-30,01:05:21.003,133.66486
2018-10-30,01:05:22.093,134.85613999999998
2018-10-30,01:05:23.205,135.45642
2018-10-30,01:05:24.296,135.75656
2018-10-30,01:05:25.374,136.18967
2018-10-30,01:05:26.465,138.46194
2018-10-30,01:05:27.564,140.06985
2018-10-30,01:05:28.672,140.87381000000002
2018-10-30,01:05:29.745,141.10043000000002
2018-10-30,01:05:30.844,141.13065
2018-10-30,01:05:31.944,141.22885
2018-10-30,01:05:33.035,141.27795
2018-10-30,01:05:34.125,141.66748
2018-10-30,01:05:35.265,142.33252
2018-10-30,01:05:36.355,142.66504
2018-10-30,01:05:37.435,142.36102
2018-10-30,01:05:38.535,142.20901
2018-10-30,01:05:39.634,142.18872
2018-10-30,01:05:40.725,142.17856
2018-10-30,01:05:41.806,142.21149
2018-10-30,01:05:42.915,142.63523999999998
2018-10-30,01:05:44.007,143.03285
2018-10-30,01:05:45.084,143.51657
2018-10-30,01:05:46.185,143.76166
2018-10-30,01:05:47.275,143.95978
2018-10-30,01:06:50.312,144.1391
