timestamp,x,y,z,heart rate,label
2018-10-30 1:0:38,-1.6364368,-6.39012458,7.31548305,88.505165,laying
2018-10-30 1:0:39,-1.6340426,-6.3973072,7.32386288,89.52917,laying
2018-10-30 1:0:40,-1.62590232,-6.39850428,7.31165234,91.88945,laying
2018-10-30 1:0:41,-1.6292542,-6.38413905,7.33343962,93.42229,laying
2018-10-30 1:0:42,-1.6364368,-6.38533603,7.31069475,120.03368999999999,laying
2018-10-30 1:0:43,-1.42574712,-7.7967178,5.93402905,113.33131999999999,laying
2018-10-30 1:0:44,-1.47961663,-7.75481915,5.90170713,115.29728999999999,laying
2018-10-30 1:0:45,-1.68432088,-7.44117905,6.16028092,116.464615,laying
2018-10-30 1:0:46,-1.67282872,-6.8696828,6.90463832,117.04828,laying
2018-10-30 1:0:47,-1.65678755,-6.51941135,7.25203685,117.15576999999999,laying
2018-10-30 1:0:48,-1.62686,-6.43322012,7.28316142,117.15576999999999,laying
2018-10-30 1:0:49,-1.6328455,-6.40688398,7.29992082,102.43924,laying
2018-10-30 1:0:50,-1.6208745,-6.41047525,7.31787725,95.0128,laying
2018-10-30 1:0:51,-1.62494464,-6.39946198,7.31261008,91.19601999999999,laying
2018-10-30 1:0:52,-1.6304513,-6.38892738,7.3190745,89.28763000000001,laying
2018-10-30 1:0:53,-1.6364368,-6.39012458,7.31548305,88.505165,laying
2018-10-30 1:0:54,-1.6340426,-6.3973072,7.32386288,89.52917,laying
2018-10-30 1:0:55,-1.62590232,-6.39850428,7.31165234,91.88945,laying
2018-10-30 1:0:56,-1.6292542,-6.38413905,7.33343962,93.42229,laying
2018-10-30 1:0:57,-1.6364368,-6.38533603,7.31069475,120.03368999999999,laying
2018-10-30 1:3:29,-0.23104046,-3.4823664,9.4295635,120.06936,laying
2018-10-30 1:3:30,-0.14604631,-3.85586182,9.174581,116.91283,laying
2018-10-30 1:3:31,-0.17717093,-4.00310527,9.2535895,114.77181999999999,laying
2018-10-30 1:3:32,-0.16310499,-3.98993713,9.19493175,112.922775,laying
2018-10-30 1:3:33,-1.3860033,-3.26209982,9.221986,112.922775,laying
2018-10-30 1:3:34,-1.5801731,-3.3506854,9.16859525,111.889725,laying
2018-10-30 1:3:35,-1.5574282,-3.39617518,9.1243025,110.11501000000001,laying
2018-10-30 1:3:36,-1.53468328,-3.3782186,9.1841575,109.22766000000001,laying
2018-10-30 1:3:37,-1.61297364,-3.31860306,9.2042686,108.78398,laying
2018-10-30 1:3:38,-1.5981296,-3.29681562,9.19134,114.09069,laying
2018-10-30 1:3:39,-1.5849615,-3.2980127,9.1937345,124.04283000000001,laying
2018-10-30 1:3:40,-1.5897499,-3.2836475,9.1817635,133.59116,laying
2018-10-30 1:3:41,-1.58903164,-3.29274546,9.1918188,138.36533,laying
2018-10-30 1:3:42,-1.5729905,-3.289633,9.20450825,140.75241,laying
2018-10-30 1:3:43,-1.5741876,-3.28963318,9.19732525,141.08646000000002,laying
2018-10-30 1:3:44,-1.590947,-3.3279405,9.16620075,139.87051,laying
2018-10-30 1:3:45,-1.57753948,-3.31381456,9.1717074,139.87051,laying
2018-10-30 1:3:46,-1.5825673,-3.3243492,9.19134,137.61037,laying